"species","method","accuracy","pa","pool"
"Emberiza_schoeniclus","A",0.330672064054935,"abu","NPo"
"Erithacus_rubecula","A",0.667735866402375,"abu","NPo"
"Falco_tinnunculus","A",0.254182288672448,"abu","NPo"
"Ficedula_hypoleuca","A",0.320109202676522,"abu","NPo"
"Fringilla_coelebs","A",0.749201310286157,"abu","NPo"
"Fringilla_montifringilla","A",0.671544676077673,"abu","NPo"
"Fulica_atra","A",0.368717787491649,"abu","NPo"
"Gallinago_gallinago","A",0.236328654541591,"abu","NPo"
"Garrulus_glandarius","A",0.431730005117966,"abu","NPo"
"Gavia_arctica","A",0.245810942705364,"abu","NPo"
"Gavia_stellata","A",0.175632975656947,"abu","NPo"
"Grus_grus","A",0.316677285184448,"abu","NPo"
"Haematopus_ostralegus","A",0.492984253943072,"abu","NPo"
"Hippolais_icterina","A",0.376416734629979,"abu","NPo"
"Hirundo_rustica","A",0.532120222293966,"abu","NPo"
"Jynx_torquilla","A",0.148297491392017,"abu","NPo"
"Lagopus_lagopus","A",0.351799333958293,"abu","NPo"
"Lanius_collurio","A",0.102939515562657,"abu","NPo"
"Larus_argentatus","A",0.465053187686571,"abu","NPo"
"Larus_canus","A",0.519802702341272,"abu","NPo"
"Larus_marinus","A",0.491281000828358,"abu","NPo"
"Larus_ridibundus","A",0.47711925199764,"abu","NPo"
"Loxia_curvirostra","A",0.280235320396921,"abu","NPo"
"Loxia_pytyopsittacus","A",0.254334438286139,"abu","NPo"
"Lullula_arborea","A",0.268204099810713,"abu","NPo"
"Luscinia_luscinia","A",0.52667465430329,"abu","NPo"
"Luscinia_svecica","A",0.440803197661651,"abu","NPo"
"Mergus_merganser","A",0.474665964678987,"abu","NPo"
"Motacilla_alba","A",0.603269673623284,"abu","NPo"
"Motacilla_flava","A",0.463747411676163,"abu","NPo"
"Muscicapa_striata","A",0.393785594093554,"abu","NPo"
"Numenius_arquata","A",0.649943617903653,"abu","NPo"
"Numenius_phaeopus","A",0.224009445690337,"abu","NPo"
"Oenanthe_oenanthe","A",0.641251604909291,"abu","NPo"
"Pandion_haliaetus","A",0.106508685975772,"abu","NPo"
"Parus_ater","A",0.397590744035038,"abu","NPo"
"Parus_caeruleus","A",0.45918459643632,"abu","NPo"
"Parus_cristatus","A",0.304589265823128,"abu","NPo"
"Parus_major","A",0.72688988381525,"abu","NPo"
"Parus_montanus","A",0.269162717063696,"abu","NPo"
"Parus_palustris","A",0.102364242268137,"abu","NPo"
"Passer_domesticus","A",0.439608619416292,"abu","NPo"
"Passer_montanus","A",0.429820792167241,"abu","NPo"
"Perisoreus_infaustus","A",0.459184249322492,"abu","NPo"
"Phalacrocorax_carbo","A",0.411007995595907,"abu","NPo"
"Phasianus_colchicus","A",0.460967086024335,"abu","NPo"
"Phoenicurus_phoenicurus","A",0.428088580046109,"abu","NPo"
"Phylloscopus_collybita","A",0.17152606148706,"abu","NPo"
"Phylloscopus_sibilatrix","A",0.422755796665534,"abu","NPo"
"Phylloscopus_trochilus","A",0.475249714286209,"abu","NPo"
"Pica_pica","A",0.539025925112227,"abu","NPo"
"Picus_viridis","A",0.172649561497652,"abu","NPo"
"Pluvialis_apricaria","A",0.650332007546258,"abu","NPo"
"Podiceps_cristatus","A",0.250308084657013,"abu","NPo"
"Prunella_modularis","A",0.350875406490345,"abu","NPo"
"Pyrrhula_pyrrhula","A",0.0848591710290117,"abu","NPo"
"Regulus_regulus","A",0.563453908645362,"abu","NPo"
"Saxicola_rubetra","A",0.410065259066733,"abu","NPo"
"Scolopax_rusticola","A",0.128847022693879,"abu","NPo"
"Sitta_europaea","A",0.312725940274246,"abu","NPo"
"Sterna_hirundo","A",0.42980286529164,"abu","NPo"
"Sturnus_vulgaris","A",0.539223270337609,"abu","NPo"
"Sylvia_atricapilla","A",0.640213876045031,"abu","NPo"
"Sylvia_borin","A",0.517441964753603,"abu","NPo"
"Sylvia_communis","A",0.631964476052461,"abu","NPo"
"Sylvia_curruca","A",0.36191587378815,"abu","NPo"
"Tetrao_tetrix","A",0.132944476057529,"abu","NPo"
"Tetrao_urogallus","A",0.205231063293779,"abu","NPo"
"Tringa_glareola","A",0.533296313391575,"abu","NPo"
"Tringa_nebularia","A",0.36144656506122,"abu","NPo"
"Tringa_ochropus","A",0.36363558934359,"abu","NPo"
"Tringa_totanus","A",0.270687339162236,"abu","NPo"
"Troglodytes_troglodytes","A",0.595996573041546,"abu","NPo"
"Turdus_iliacus","A",0.388155971277136,"abu","NPo"
"Turdus_merula","A",0.741791022388532,"abu","NPo"
"Turdus_philomelos","A",0.572487445568685,"abu","NPo"
"Turdus_pilaris","A",0.500105434300658,"abu","NPo"
"Turdus_torquatus","A",0.34267393727132,"abu","NPo"
"Turdus_viscivorus","A",0.333834330330726,"abu","NPo"
"Vanellus_vanellus","A",0.508077304008738,"abu","NPo"
"Acrocephalus_palustris","B",0.393761958629653,"abu","NPo"
"Acrocephalus_schoenobaenus","B",0.138659378012143,"abu","NPo"
"Acrocephalus_scirpaceus","B",0.094009431659871,"abu","NPo"
"Actitis_hypoleucos","B",0.0593447406205058,"abu","NPo"
"Aegithalos_caudatus","B",0.207514774630336,"abu","NPo"
"Alauda_arvensis","B",0.649974719083446,"abu","NPo"
"Anas_crecca","B",-0.00281388077381685,"abu","NPo"
"Anas_platyrhynchos","B",0.448092978452069,"abu","NPo"
"Anser_anser","B",0.324876985437465,"abu","NPo"
"Anthus_pratensis","B",0.717583082306238,"abu","NPo"
"Anthus_trivialis","B",0.587841272241944,"abu","NPo"
"Apus_apus","B",0.425409404930163,"abu","NPo"
"Ardea_cinerea","B",0.253206672876739,"abu","NPo"
"Aythya_fuligula","B",0.294091127276175,"abu","NPo"
"Bonasa_bonasia","B",-0.0413247393208964,"abu","NPo"
"Branta_canadensis","B",0.295528490913451,"abu","NPo"
"Bucephala_clangula","B",0.261826765891231,"abu","NPo"
"Buteo_buteo","B",0.252537936517758,"abu","NPo"
"Carduelis_cannabina","B",0.471164424194873,"abu","NPo"
"Carduelis_carduelis","B",0.17914825738942,"abu","NPo"
"Carduelis_chloris","B",0.387552379582914,"abu","NPo"
"Carduelis_flammea","B",0.314087348002538,"abu","NPo"
"Carduelis_spinus","B",0.393621090809711,"abu","NPo"
"Carpodacus_erythrinus","B",0.24115909197915,"abu","NPo"
"Certhia_familiaris","B",0.282458719256443,"abu","NPo"
"Coccothraustes_coccothraustes","B",0.0598234031678972,"abu","NPo"
"Columba_livia","B",0.417493747542095,"abu","NPo"
"Columba_oenas","B",0.179899991938881,"abu","NPo"
"Columba_palumbus","B",0.627707462968356,"abu","NPo"
"Corvus_corax","B",0.149060620793405,"abu","NPo"
"Corvus_corone","B",0.704978345488285,"abu","NPo"
"Corvus_monedula","B",0.62435952204021,"abu","NPo"
"Cuculus_canorus","B",-0.0571736401109262,"abu","NPo"
"Cygnus_cygnus","B",0.196641110557276,"abu","NPo"
"Cygnus_olor","B",0.517563091887665,"abu","NPo"
"Delichon_urbicum","B",0.312964540007897,"abu","NPo"
"Dendrocopos_major","B",0.207355488604821,"abu","NPo"
"Dryocopus_martius","B",0.132043608758137,"abu","NPo"
"Emberiza_citrinella","B",0.433037440197667,"abu","NPo"
"Emberiza_rustica","B",0.255978196807196,"abu","NPo"
"Emberiza_schoeniclus","B",0.269092945698865,"abu","NPo"
"Erithacus_rubecula","B",0.590161995549486,"abu","NPo"
"Falco_tinnunculus","B",0.230911608674334,"abu","NPo"
"Ficedula_hypoleuca","B",0.157088964390052,"abu","NPo"
"Fringilla_coelebs","B",0.73048866439207,"abu","NPo"
"Fringilla_montifringilla","B",0.601074110965911,"abu","NPo"
"Fulica_atra","B",0.115160654892154,"abu","NPo"
"Gallinago_gallinago","B",0.122741477421064,"abu","NPo"
"Garrulus_glandarius","B",0.308169901537689,"abu","NPo"
"Gavia_arctica","B",0.219883412947795,"abu","NPo"
"Gavia_stellata","B",0.191973373929864,"abu","NPo"
"Grus_grus","B",0.249294059643163,"abu","NPo"
"Haematopus_ostralegus","B",0.443824069461081,"abu","NPo"
"Hippolais_icterina","B",0.317549758301561,"abu","NPo"
"Hirundo_rustica","B",0.456495004152504,"abu","NPo"
"Jynx_torquilla","B",0.0966262213311228,"abu","NPo"
"Lagopus_lagopus","B",0.147803853403935,"abu","NPo"
"Lanius_collurio","B",-0.00716445855060586,"abu","NPo"
"Larus_argentatus","B",0.407749401663901,"abu","NPo"
"Larus_canus","B",0.413398754214217,"abu","NPo"
"Larus_marinus","B",0.46986550475705,"abu","NPo"
"Larus_ridibundus","B",0.431436056033473,"abu","NPo"
"Loxia_curvirostra","B",0.19705796661302,"abu","NPo"
"Loxia_pytyopsittacus","B",0.122068655596962,"abu","NPo"
"Lullula_arborea","B",0.110943890541052,"abu","NPo"
"Luscinia_luscinia","B",0.450960127749051,"abu","NPo"
"Luscinia_svecica","B",0.147604040320099,"abu","NPo"
"Mergus_merganser","B",0.410396727502165,"abu","NPo"
"Motacilla_alba","B",0.546638009238411,"abu","NPo"
"Motacilla_flava","B",0.333759468005262,"abu","NPo"
"Muscicapa_striata","B",0.348310020838921,"abu","NPo"
"Numenius_arquata","B",0.599316075526267,"abu","NPo"
"Numenius_phaeopus","B",0.0713480663365771,"abu","NPo"
"Oenanthe_oenanthe","B",0.628786978193813,"abu","NPo"
"Pandion_haliaetus","B",-0.00270681492839558,"abu","NPo"
"Parus_ater","B",0.337598517073186,"abu","NPo"
"Parus_caeruleus","B",0.323824002551524,"abu","NPo"
"Parus_cristatus","B",0.256500222624607,"abu","NPo"
"Parus_major","B",0.54981940567194,"abu","NPo"
"Parus_montanus","B",0.248418917168723,"abu","NPo"
"Parus_palustris","B",0.0435381084179023,"abu","NPo"
"Passer_domesticus","B",0.334883422390775,"abu","NPo"
"Passer_montanus","B",0.381466955720306,"abu","NPo"
"Perisoreus_infaustus","B",0.251372847519161,"abu","NPo"
"Phalacrocorax_carbo","B",0.235310170268327,"abu","NPo"
"Phasianus_colchicus","B",0.4327388067855,"abu","NPo"
"Phoenicurus_phoenicurus","B",0.365436289129955,"abu","NPo"
"Phylloscopus_collybita","B",0.00102570363932235,"abu","NPo"
"Phylloscopus_sibilatrix","B",0.417176654174372,"abu","NPo"
"Phylloscopus_trochilus","B",0.420953236443641,"abu","NPo"
"Pica_pica","B",0.467111292618613,"abu","NPo"
"Picus_viridis","B",0.115526966307764,"abu","NPo"
"Pluvialis_apricaria","B",0.572060599927057,"abu","NPo"
"Podiceps_cristatus","B",0.140311153893309,"abu","NPo"
"Prunella_modularis","B",0.345507212533673,"abu","NPo"
"Pyrrhula_pyrrhula","B",-0.0730131358736041,"abu","NPo"
"Regulus_regulus","B",0.527920869615906,"abu","NPo"
"Saxicola_rubetra","B",0.393548812299557,"abu","NPo"
"Scolopax_rusticola","B",0.0350838857924409,"abu","NPo"
"Sitta_europaea","B",0.262477709063665,"abu","NPo"
"Sterna_hirundo","B",0.300361586528408,"abu","NPo"
"Sturnus_vulgaris","B",0.506082799418929,"abu","NPo"
"Sylvia_atricapilla","B",0.473402271622617,"abu","NPo"
"Sylvia_borin","B",0.374526314641144,"abu","NPo"
"Sylvia_communis","B",0.567362918834941,"abu","NPo"
"Sylvia_curruca","B",0.258991133082483,"abu","NPo"
"Tetrao_tetrix","B",0.0687215666497103,"abu","NPo"
"Tetrao_urogallus","B",0.130770393291804,"abu","NPo"
"Tringa_glareola","B",0.404954650823826,"abu","NPo"
"Tringa_nebularia","B",0.189066055947759,"abu","NPo"
"Tringa_ochropus","B",0.306438440531778,"abu","NPo"
"Tringa_totanus","B",0.076193648616118,"abu","NPo"
"Troglodytes_troglodytes","B",0.512210905010639,"abu","NPo"
"Turdus_iliacus","B",0.232999076160252,"abu","NPo"
"Turdus_merula","B",0.697466592060429,"abu","NPo"
"Turdus_philomelos","B",0.466460131927501,"abu","NPo"
"Turdus_pilaris","B",0.424502759910263,"abu","NPo"
"Turdus_torquatus","B",0.222469062008051,"abu","NPo"
"Turdus_viscivorus","B",0.171443779453434,"abu","NPo"
"Vanellus_vanellus","B",0.445534889513146,"abu","NPo"
"Acrocephalus_palustris","C",0.119209287723029,"abu","NPo"
"Acrocephalus_schoenobaenus","C",0.248753254339514,"abu","NPo"
"Acrocephalus_scirpaceus","C",-0.139603935338712,"abu","NPo"
"Actitis_hypoleucos","C",-0.0582367767683079,"abu","NPo"
"Aegithalos_caudatus","C",0.37302464556386,"abu","NPo"
"Alauda_arvensis","C",-0.0357160166740629,"abu","NPo"
"Anas_crecca","C",-0.0896193236673048,"abu","NPo"
"Anas_platyrhynchos","C",0.120693277081473,"abu","NPo"
"Anser_anser","C",-0.274689818811773,"abu","NPo"
"Anthus_pratensis","C",0.36223486092335,"abu","NPo"
"Anthus_trivialis","C",-0.0281318143012389,"abu","NPo"
"Apus_apus","C",0.089838066382909,"abu","NPo"
"Ardea_cinerea","C",0.0936438839275085,"abu","NPo"
"Aythya_fuligula","C",-0.420687149028498,"abu","NPo"
"Bonasa_bonasia","C",NA,"abu","NPo"
"Branta_canadensis","C",0.0140720653903593,"abu","NPo"
"Bucephala_clangula","C",0.0899897541117499,"abu","NPo"
"Buteo_buteo","C",-0.0591458221456251,"abu","NPo"
"Carduelis_cannabina","C",0.017006669719409,"abu","NPo"
"Carduelis_carduelis","C",-0.189288177921126,"abu","NPo"
"Carduelis_chloris","C",0.191246453097943,"abu","NPo"
"Carduelis_flammea","C",0.0176171189991434,"abu","NPo"
"Carduelis_spinus","C",-0.0387354845354739,"abu","NPo"
"Carpodacus_erythrinus","C",-0.313890223243026,"abu","NPo"
"Certhia_familiaris","C",-0.198013065035827,"abu","NPo"
"Coccothraustes_coccothraustes","C",0.14564024602542,"abu","NPo"
"Columba_livia","C",-0.0356629964015291,"abu","NPo"
"Columba_oenas","C",-0.168280361898223,"abu","NPo"
"Columba_palumbus","C",-0.146488962893211,"abu","NPo"
"Corvus_corax","C",0.0108897418733092,"abu","NPo"
"Corvus_corone","C",-0.141986942309875,"abu","NPo"
"Corvus_monedula","C",0.0146296585785747,"abu","NPo"
"Cuculus_canorus","C",0.00639435848663199,"abu","NPo"
"Cygnus_cygnus","C",0.158466851287261,"abu","NPo"
"Cygnus_olor","C",-0.0424595399370756,"abu","NPo"
"Delichon_urbicum","C",0.171761365596334,"abu","NPo"
"Dendrocopos_major","C",-0.0335611037292508,"abu","NPo"
"Dryocopus_martius","C",0.158767933370334,"abu","NPo"
"Emberiza_citrinella","C",0.0506031059770598,"abu","NPo"
"Emberiza_rustica","C",NA,"abu","NPo"
"Emberiza_schoeniclus","C",0.283178749286057,"abu","NPo"
"Erithacus_rubecula","C",0.0697277693580808,"abu","NPo"
"Falco_tinnunculus","C",0.714374578878406,"abu","NPo"
"Ficedula_hypoleuca","C",0.0912528083735569,"abu","NPo"
"Fringilla_coelebs","C",-0.029482269538056,"abu","NPo"
"Fringilla_montifringilla","C",-0.163876407387497,"abu","NPo"
"Fulica_atra","C",0.343689650951327,"abu","NPo"
"Gallinago_gallinago","C",0.0477516360517415,"abu","NPo"
"Garrulus_glandarius","C",-0.0193868570835592,"abu","NPo"
"Gavia_arctica","C",0.0367194690518594,"abu","NPo"
"Gavia_stellata","C",-0.120217687596214,"abu","NPo"
"Grus_grus","C",-0.0126494120224849,"abu","NPo"
"Haematopus_ostralegus","C",-0.0736685723979859,"abu","NPo"
"Hippolais_icterina","C",-0.0460531565181622,"abu","NPo"
"Hirundo_rustica","C",0.0164611958203419,"abu","NPo"
"Jynx_torquilla","C",0.0176833253973893,"abu","NPo"
"Lagopus_lagopus","C",-0.102742086347712,"abu","NPo"
"Lanius_collurio","C",-0.130481895206437,"abu","NPo"
"Larus_argentatus","C",-0.100597015441617,"abu","NPo"
"Larus_canus","C",0.0619187656296379,"abu","NPo"
"Larus_marinus","C",0.348438745415688,"abu","NPo"
"Larus_ridibundus","C",0.0120750900955271,"abu","NPo"
"Loxia_curvirostra","C",0.198854907957477,"abu","NPo"
"Loxia_pytyopsittacus","C",-0.359938250672171,"abu","NPo"
"Lullula_arborea","C",-0.542811979365859,"abu","NPo"
"Luscinia_luscinia","C",0.201067852115345,"abu","NPo"
"Luscinia_svecica","C",-0.259582690617223,"abu","NPo"
"Mergus_merganser","C",-0.158148237784676,"abu","NPo"
"Motacilla_alba","C",-0.113803143845094,"abu","NPo"
"Motacilla_flava","C",0.223389835575138,"abu","NPo"
"Muscicapa_striata","C",-0.110115230894958,"abu","NPo"
"Numenius_arquata","C",0.071174371241677,"abu","NPo"
"Numenius_phaeopus","C",-0.210312238782162,"abu","NPo"
"Oenanthe_oenanthe","C",-0.0870063326572049,"abu","NPo"
"Pandion_haliaetus","C",-0.0979074328756726,"abu","NPo"
"Parus_ater","C",-0.0529428481872103,"abu","NPo"
"Parus_caeruleus","C",-0.0237662266101351,"abu","NPo"
"Parus_cristatus","C",0.0872949605564751,"abu","NPo"
"Parus_major","C",0.0819963405905156,"abu","NPo"
"Parus_montanus","C",-0.21282424613876,"abu","NPo"
"Parus_palustris","C",0.129029042205353,"abu","NPo"
"Passer_domesticus","C",0.195422192806587,"abu","NPo"
"Passer_montanus","C",0.137858014966484,"abu","NPo"
"Perisoreus_infaustus","C",0.0430968307389151,"abu","NPo"
"Phalacrocorax_carbo","C",0.32682415393396,"abu","NPo"
"Phasianus_colchicus","C",-0.00144367316223196,"abu","NPo"
"Phoenicurus_phoenicurus","C",0.0794915306018606,"abu","NPo"
"Phylloscopus_collybita","C",-0.16025292501636,"abu","NPo"
"Phylloscopus_sibilatrix","C",-0.109504910588141,"abu","NPo"
"Phylloscopus_trochilus","C",-0.108554562628523,"abu","NPo"
"Pica_pica","C",-0.0143133554650195,"abu","NPo"
"Picus_viridis","C",0.0702391127481996,"abu","NPo"
"Pluvialis_apricaria","C",0.0810569450810746,"abu","NPo"
"Podiceps_cristatus","C",-0.202512160607257,"abu","NPo"
"Prunella_modularis","C",-0.0228236119879249,"abu","NPo"
"Pyrrhula_pyrrhula","C",0.0546312787679313,"abu","NPo"
"Regulus_regulus","C",0.154531791131241,"abu","NPo"
"Saxicola_rubetra","C",0.186972151122026,"abu","NPo"
"Scolopax_rusticola","C",0.646717223155989,"abu","NPo"
"Sitta_europaea","C",0.128207598772756,"abu","NPo"
"Sterna_hirundo","C",-0.00277772145405395,"abu","NPo"
"Sturnus_vulgaris","C",-0.185883296185533,"abu","NPo"
"Sylvia_atricapilla","C",-0.0918371738875802,"abu","NPo"
"Sylvia_borin","C",0.00193148074157068,"abu","NPo"
"Sylvia_communis","C",-0.165191632809604,"abu","NPo"
"Sylvia_curruca","C",0.115632502776307,"abu","NPo"
"Tetrao_tetrix","C",0.0515721683576325,"abu","NPo"
"Tetrao_urogallus","C",0.338839766233785,"abu","NPo"
"Tringa_glareola","C",0.231088600712935,"abu","NPo"
"Tringa_nebularia","C",0.109831154434735,"abu","NPo"
"Tringa_ochropus","C",0.0998065196566177,"abu","NPo"
"Tringa_totanus","C",-0.234726253925325,"abu","NPo"
"Troglodytes_troglodytes","C",0.126944731264741,"abu","NPo"
"Turdus_iliacus","C",-0.237332223892337,"abu","NPo"
"Turdus_merula","C",0.0165496610150395,"abu","NPo"
"Turdus_philomelos","C",-0.0202317025341224,"abu","NPo"
"Turdus_pilaris","C",-0.00593939198126307,"abu","NPo"
"Turdus_torquatus","C",-0.0755531319303834,"abu","NPo"
"Turdus_viscivorus","C",-0.0752884229798682,"abu","NPo"
"Vanellus_vanellus","C",-0.116729949649281,"abu","NPo"
"Acrocephalus_palustris","D",0.226711970612743,"abu","NPo"
"Acrocephalus_schoenobaenus","D",0.15105376729192,"abu","NPo"
"Acrocephalus_scirpaceus","D",-0.137016370648838,"abu","NPo"
"Actitis_hypoleucos","D",-0.133877855846498,"abu","NPo"
"Aegithalos_caudatus","D",-0.496564758348371,"abu","NPo"
"Alauda_arvensis","D",0.0283228332389176,"abu","NPo"
"Anas_crecca","D",-0.234502980932412,"abu","NPo"
"Anas_platyrhynchos","D",0.0152379625443545,"abu","NPo"
"Anser_anser","D",-0.312550827408026,"abu","NPo"
"Anthus_pratensis","D",0.38226381883267,"abu","NPo"
"Anthus_trivialis","D",-0.0171099075880009,"abu","NPo"
"Apus_apus","D",-0.0462060702307741,"abu","NPo"
"Ardea_cinerea","D",0.101484009625355,"abu","NPo"
"Aythya_fuligula","D",0.0152449332228899,"abu","NPo"
"Bonasa_bonasia","D",NA,"abu","NPo"
"Branta_canadensis","D",0.0258148766327718,"abu","NPo"
"Bucephala_clangula","D",-0.0999761892154252,"abu","NPo"
"Buteo_buteo","D",-0.0502353049399902,"abu","NPo"
"Carduelis_cannabina","D",-0.0183165145410567,"abu","NPo"
"Carduelis_carduelis","D",0.15077834710883,"abu","NPo"
"Carduelis_chloris","D",0.0365591769704673,"abu","NPo"
"Carduelis_flammea","D",-0.050461000478899,"abu","NPo"
"Carduelis_spinus","D",-0.0111215463897976,"abu","NPo"
"Carpodacus_erythrinus","D",-0.352324917194561,"abu","NPo"
"Certhia_familiaris","D",-0.176460720318899,"abu","NPo"
"Coccothraustes_coccothraustes","D",0.0711139133589123,"abu","NPo"
"Columba_livia","D",0.29397173200767,"abu","NPo"
"Columba_oenas","D",-0.0737304628100093,"abu","NPo"
"Columba_palumbus","D",-0.127080806992047,"abu","NPo"
"Corvus_corax","D",0.000417780148108148,"abu","NPo"
"Corvus_corone","D",-0.126475079583308,"abu","NPo"
"Corvus_monedula","D",-0.0159134175534168,"abu","NPo"
"Cuculus_canorus","D",-0.0144264623641902,"abu","NPo"
"Cygnus_cygnus","D",-0.169487362644119,"abu","NPo"
"Cygnus_olor","D",-0.0305774102303196,"abu","NPo"
"Delichon_urbicum","D",0.0627006483987799,"abu","NPo"
"Dendrocopos_major","D",0.0551601948636933,"abu","NPo"
"Dryocopus_martius","D",0.115394793394524,"abu","NPo"
"Emberiza_citrinella","D",-0.0716775333689453,"abu","NPo"
"Emberiza_rustica","D",NA,"abu","NPo"
"Emberiza_schoeniclus","D",0.200221566939067,"abu","NPo"
"Erithacus_rubecula","D",0.0522691711930274,"abu","NPo"
"Falco_tinnunculus","D",0.628706448545385,"abu","NPo"
"Ficedula_hypoleuca","D",0.10376266811827,"abu","NPo"
"Fringilla_coelebs","D",0.0223225806755558,"abu","NPo"
"Fringilla_montifringilla","D",-0.15071153638817,"abu","NPo"
"Fulica_atra","D",0.259295078154608,"abu","NPo"
"Gallinago_gallinago","D",0.0723872245020703,"abu","NPo"
"Garrulus_glandarius","D",-0.0282206071840073,"abu","NPo"
"Gavia_arctica","D",-0.119247233004938,"abu","NPo"
"Gavia_stellata","D",-0.177127714417601,"abu","NPo"
"Grus_grus","D",-0.0289255278375911,"abu","NPo"
"Haematopus_ostralegus","D",0.084595137996775,"abu","NPo"
"Hippolais_icterina","D",0.115206434690467,"abu","NPo"
"Hirundo_rustica","D",0.0919223426982046,"abu","NPo"
"Jynx_torquilla","D",-0.160909375276433,"abu","NPo"
"Lagopus_lagopus","D",-0.131054023821407,"abu","NPo"
"Lanius_collurio","D",-0.0306545615480007,"abu","NPo"
"Larus_argentatus","D",-0.0628000463089813,"abu","NPo"
"Larus_canus","D",0.0247738246012739,"abu","NPo"
"Larus_marinus","D",0.300307558960468,"abu","NPo"
"Larus_ridibundus","D",-0.115196347635201,"abu","NPo"
"Loxia_curvirostra","D",0.185917673750386,"abu","NPo"
"Loxia_pytyopsittacus","D",-0.446323822432946,"abu","NPo"
"Lullula_arborea","D",-0.419655466436539,"abu","NPo"
"Luscinia_luscinia","D",0.169302510094623,"abu","NPo"
"Luscinia_svecica","D",0.0549986672034442,"abu","NPo"
"Mergus_merganser","D",-0.0276017929526806,"abu","NPo"
"Motacilla_alba","D",-0.118568368818049,"abu","NPo"
"Motacilla_flava","D",0.228247672516186,"abu","NPo"
"Muscicapa_striata","D",0.00303347545033786,"abu","NPo"
"Numenius_arquata","D",0.09534207460378,"abu","NPo"
"Numenius_phaeopus","D",-0.243571485365708,"abu","NPo"
"Oenanthe_oenanthe","D",-0.111192330097519,"abu","NPo"
"Pandion_haliaetus","D",-0.145769815223741,"abu","NPo"
"Parus_ater","D",-0.0735444772063109,"abu","NPo"
"Parus_caeruleus","D",0.0743097119038112,"abu","NPo"
"Parus_cristatus","D",0.203826971582495,"abu","NPo"
"Parus_major","D",0.0612189094020956,"abu","NPo"
"Parus_montanus","D",-0.275397179423233,"abu","NPo"
"Parus_palustris","D",0.0515343307090022,"abu","NPo"
"Passer_domesticus","D",0.147937307520322,"abu","NPo"
"Passer_montanus","D",0.268509058440135,"abu","NPo"
"Perisoreus_infaustus","D",-0.280937147658818,"abu","NPo"
"Phalacrocorax_carbo","D",0.219766544514939,"abu","NPo"
"Phasianus_colchicus","D",-0.0401098830959618,"abu","NPo"
"Phoenicurus_phoenicurus","D",0.088917254547897,"abu","NPo"
"Phylloscopus_collybita","D",-0.249304979644372,"abu","NPo"
"Phylloscopus_sibilatrix","D",-0.123210708389803,"abu","NPo"
"Phylloscopus_trochilus","D",0.0277430430424986,"abu","NPo"
"Pica_pica","D",0.073552799870803,"abu","NPo"
"Picus_viridis","D",0.0574479573639299,"abu","NPo"
"Pluvialis_apricaria","D",0.176700435337684,"abu","NPo"
"Podiceps_cristatus","D",-0.241574395709766,"abu","NPo"
"Prunella_modularis","D",-0.0157156261626832,"abu","NPo"
