"species","abu_A","abu_B","abu_C","abu_D"
"Muscicapa_striata",0.393785594093554,0.348310020838921,-0.110115230894958,0.00303347545033786
"Numenius_arquata",0.649943617903653,0.599316075526267,0.071174371241677,0.09534207460378
"Numenius_phaeopus",0.224009445690337,0.0713480663365771,-0.210312238782162,-0.243571485365708
"Oenanthe_oenanthe",0.641251604909291,0.628786978193813,-0.0870063326572049,-0.111192330097519
"Pandion_haliaetus",0.106508685975772,-0.00270681492839558,-0.0979074328756726,-0.145769815223741
"Parus_ater",0.397590744035038,0.337598517073186,-0.0529428481872103,-0.0735444772063109
"Parus_caeruleus",0.45918459643632,0.323824002551524,-0.0237662266101351,0.0743097119038112
"Parus_cristatus",0.304589265823128,0.256500222624607,0.0872949605564751,0.203826971582495
"Parus_major",0.72688988381525,0.54981940567194,0.0819963405905156,0.0612189094020956
"Parus_montanus",0.269162717063696,0.248418917168723,-0.21282424613876,-0.275397179423233
"Parus_palustris",0.102364242268137,0.0435381084179023,0.129029042205353,0.0515343307090022
"Passer_domesticus",0.439608619416292,0.334883422390775,0.195422192806587,0.147937307520322
"Passer_montanus",0.429820792167241,0.381466955720306,0.137858014966484,0.268509058440135
"Perisoreus_infaustus",0.459184249322492,0.251372847519161,0.0430968307389151,-0.280937147658818
"Phalacrocorax_carbo",0.411007995595907,0.235310170268327,0.32682415393396,0.219766544514939
"Phasianus_colchicus",0.460967086024335,0.4327388067855,-0.00144367316223196,-0.0401098830959618
"Phoenicurus_phoenicurus",0.428088580046109,0.365436289129955,0.0794915306018606,0.088917254547897
"Phylloscopus_collybita",0.17152606148706,0.00102570363932235,-0.16025292501636,-0.249304979644372
"Phylloscopus_sibilatrix",0.422755796665534,0.417176654174372,-0.109504910588141,-0.123210708389803
"Phylloscopus_trochilus",0.475249714286209,0.420953236443641,-0.108554562628523,0.0277430430424986
"Pica_pica",0.539025925112227,0.467111292618613,-0.0143133554650195,0.073552799870803
"Picus_viridis",0.172649561497652,0.115526966307764,0.0702391127481996,0.0574479573639299
"Pluvialis_apricaria",0.650332007546258,0.572060599927057,0.0810569450810746,0.176700435337684
"Podiceps_cristatus",0.250308084657013,0.140311153893309,-0.202512160607257,-0.241574395709766
"Prunella_modularis",0.350875406490345,0.345507212533673,-0.0228236119879249,-0.0157156261626832
"Pyrrhula_pyrrhula",0.0848591710290117,-0.0730131358736041,0.0546312787679313,-0.0209661021523895
"Regulus_regulus",0.563453908645362,0.527920869615906,0.154531791131241,0.164272818478816
"Saxicola_rubetra",0.410065259066733,0.393548812299557,0.186972151122026,0.186707688137786
"Scolopax_rusticola",0.128847022693879,0.0350838857924409,0.646717223155989,0.479926762231676
"Sitta_europaea",0.312725940274246,0.262477709063665,0.128207598772756,0.128949265394437
"Sterna_hirundo",0.42980286529164,0.300361586528408,-0.00277772145405395,0.140579958293745
"Sturnus_vulgaris",0.539223270337609,0.506082799418929,-0.185883296185533,-0.14084699419255
"Sylvia_atricapilla",0.640213876045031,0.473402271622617,-0.0918371738875802,-0.0719211185521321
"Sylvia_borin",0.517441964753603,0.374526314641144,0.00193148074157068,0.0174653467750922
"Sylvia_communis",0.631964476052461,0.567362918834941,-0.165191632809604,-0.16523002274738
"Sylvia_curruca",0.36191587378815,0.258991133082483,0.115632502776307,0.127701448776893
"Tetrao_tetrix",0.132944476057529,0.0687215666497103,0.0515721683576325,-0.0236278380426957
"Tetrao_urogallus",0.205231063293779,0.130770393291804,0.338839766233785,0.277734191220353
"Tringa_glareola",0.533296313391575,0.404954650823826,0.231088600712935,0.219485336483279
"Tringa_nebularia",0.36144656506122,0.189066055947759,0.109831154434735,-0.298521294443788
"Tringa_ochropus",0.36363558934359,0.306438440531778,0.0998065196566177,0.127599086703649
"Tringa_totanus",0.270687339162236,0.076193648616118,-0.234726253925325,-0.269497996819226
"Troglodytes_troglodytes",0.595996573041546,0.512210905010639,0.126944731264741,0.0967402900441379
"Turdus_iliacus",0.388155971277136,0.232999076160252,-0.237332223892337,0.013082445904654
"Turdus_merula",0.741791022388532,0.697466592060429,0.0165496610150395,0.00113126065332465
"Turdus_philomelos",0.572487445568685,0.466460131927501,-0.0202317025341224,-0.023669728787174
"Turdus_pilaris",0.500105434300658,0.424502759910263,-0.00593939198126307,0.0515114507802573
"Turdus_torquatus",0.34267393727132,0.222469062008051,-0.0755531319303834,0.162342153426188
"Turdus_viscivorus",0.333834330330726,0.171443779453434,-0.0752884229798682,0.0836657622051993
"Vanellus_vanellus",0.508077304008738,0.445534889513146,-0.116729949649281,-0.239425440018951
